Wavelength,Red_PhotonFlux,Green_PhotonFlux,Blue_PhotonFlux,UV_PhotonFlux
300.0,0.0,0.0,0.0,0.0
301.0,0.0,0.0,0.0,0.0
302.0,0.0,0.0,0.0,0.0
303.0,0.0,0.0,0.0,0.0
304.0,0.0,0.0,0.0,0.0
305.0,0.0,0.0,0.0,0.0
306.0,0.0,0.0,0.0,0.0
307.0,0.0,0.0,0.0,0.0
308.0,0.0,0.0,0.0,0.0
309.0,0.0,0.0,0.0,0.0
310.0,0.0,0.0,0.0,0.0
311.0,0.0,0.0,0.0,0.0
312.0,0.0,0.0,0.0,0.0
313.0,0.0,0.0,0.0,0.0
314.0,0.0,0.0,0.0,0.0
315.0,0.0,0.0,0.0,0.0
316.0,0.0,0.0,0.0,0.0
317.0,0.0,0.0,0.0,0.0
318.0,0.0,0.0,0.0,0.0
319.0,0.0,0.0,0.0,0.0
320.0,0.0,0.0,0.0,0.0
321.0,0.0,0.0,0.0,0.0
322.0,0.0,0.0,0.0,0.0
323.0,0.0,0.0,0.0,0.0
324.0,0.0,0.0,0.0,0.0
325.0,0.0,0.0,0.0,0.0
326.0,0.0,0.0,0.0,0.0
327.0,0.0,0.0,0.0,0.0
328.0,0.0,0.0,0.0,0.0
329.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,289.16206947337804
331.0,0.0,0.0,0.0,327.5923455950157
332.0,0.0,0.0,0.0,366.7142883149291
333.0,0.0,0.0,0.0,379.27528016297333
334.0,0.0,0.0,0.0,394.38995404565816
335.0,0.0,0.0,0.0,420.45969172764933
336.0,0.0,0.0,0.0,447.15207789074105
337.0,0.0,0.0,0.0,510.040957844246
338.0,0.0,0.0,0.0,575.4788075713769
339.0,0.0,0.0,0.0,652.5223265123155
340.0,0.0,0.0,0.0,729.4974695702331
341.0,0.0,0.0,0.0,821.681455528544
342.0,0.0,0.0,0.0,911.3587525329363
343.0,0.0,0.0,0.0,1011.080249319612
344.0,0.0,0.0,0.0,1111.2281484861319
345.0,0.0,0.0,0.0,1251.834909472286
346.0,0.0,0.0,0.0,1394.344040453498
347.0,0.0,0.0,0.0,1482.7217674894553
348.0,0.0,0.0,0.0,1572.5834161971113
349.0,0.0,0.0,0.0,1712.904976439788
350.0,0.0,0.0,0.0,1849.9231847233225
351.0,0.0,0.0,0.0,1979.0924461854459
352.0,0.0,0.0,0.0,2089.549187897897
353.0,0.0,0.0,0.0,2145.7052182290035
354.0,0.0,0.0,0.0,2183.572283928777
355.0,0.0,0.0,0.0,2293.1498875137163
356.0,0.0,0.0,0.0,2403.354541739443
357.0,0.0,0.0,0.0,2460.3853491512223
358.0,0.0,0.0,0.0,2517.925530095425
359.0,0.0,0.0,0.0,2539.8773493306135
360.0,0.0,0.0,0.0,2580.112399221757
361.0,0.0,0.0,0.0,2638.6838253909996
362.0,0.0,0.0,0.0,2715.8783388659904
363.0,0.0,0.0,0.0,2757.6491251018438
364.0,0.0,0.0,0.0,2800.424395761123
365.0,0.0,0.0,0.0,2880.9735633698356
366.0,0.0,0.0,0.0,2963.337478210219
367.0,0.0,0.0,0.0,3267.9892793579834
368.0,0.0,0.0,0.0,3558.131889682984
369.0,0.0,0.0,0.0,4259.960025899109
370.0,0.0,0.0,0.0,4952.000058067701
371.0,0.0,0.0,0.0,6514.860879975344
372.0,0.0,0.0,0.0,8079.840307619384
373.0,0.0,0.0,0.0,10691.072725023147
374.0,0.0,0.0,0.0,13321.576437364134
375.0,0.0,0.0,0.0,18261.105878794548
376.0,0.0,0.0,0.0,23238.902820305502
377.0,0.0,0.0,0.0,30833.80348858762
378.0,0.0,0.0,0.0,38551.535607913735
379.0,0.0,0.0,0.0,48774.264884844626
380.0,0.0,0.0,0.0,59162.349007564284
381.0,0.0,0.0,0.0,69716.29073010794
382.0,0.0,0.0,0.0,80438.56643333593
383.0,0.0,0.0,0.0,89080.28300272395
384.0,0.0,0.0,0.0,97861.5368866353
385.0,0.0,0.0,0.0,102623.3665764317
386.0,0.0,0.0,0.0,107672.94122600372
387.0,0.0,0.0,0.0,107508.09756969332
388.0,0.0,0.0,0.0,107537.87004488338
389.0,0.0,0.0,0.0,103242.00972584412
390.0,0.0,0.0,0.0,98846.18505962989
391.0,0.0,0.0,0.0,91725.78796552443
392.0,0.0,0.0,0.0,84467.79778541718
393.0,0.0,0.0,0.0,77079.62135460757
394.0,0.0,0.0,0.0,69345.14601337114
395.0,0.0,0.0,0.0,62388.36615079921
396.0,0.0,0.0,0.0,55102.350381320444
397.0,0.0,0.0,0.0,49303.74504283426
398.0,0.0,0.0,0.0,43195.41469020981
399.0,0.0,0.0,0.0,38384.967230326205
400.0,0.0,0.0,0.0,33280.25580568034
401.0,0.0,0.0,0.0,29506.43997609496
402.0,0.0,0.0,0.0,25920.25006634021
403.0,0.0,0.0,0.0,22808.993098351413
404.0,0.0,0.002262100213367929,0.0,19710.462488106587
405.0,0.0,0.002386083148450529,0.0,17361.168241736646
406.0,0.0,0.0025271184602006593,0.0,14964.123360052943
407.0,0.0,0.0027509343688100433,0.0,13189.148480329644
408.0,0.0,0.0029599396808390826,0.0,11397.528783560907
409.0,0.0,0.003385144199088131,0.0,10047.687041612928
410.0,0.0,0.0037971406424111053,0.0,8686.05113585146
411.0,0.0,0.0044122097399862175,0.0,7628.631825375266
412.0,0.0,0.0050152982996298145,0.0,6561.974322190855
413.0,0.0,0.006025467359397901,0.0,5804.320269898243
414.0,0.0,0.007025669459017433,0.0,5015.203479328544
415.0,0.0,0.00860672978397242,0.0,4441.192759756899
416.0,0.0,0.010196768074252398,0.0,3837.306592718034
417.0,0.0,0.012441879885673683,0.0,3352.811428097833
418.0,0.0,0.014698956550993122,0.0,2864.75791045295
419.0,0.0,0.01763563371515519,0.0,2523.375903112506
420.0,0.0,0.020605502843424613,0.0,2174.845591674286
421.0,0.0,0.024453050393219957,0.0,1922.2632621422565
422.0,0.0,0.028321895919188586,0.0,1670.7010096506303
423.0,0.0,0.033250313204540166,9.709571562412248e-05,1480.8083685855268
424.0,0.0,0.038030150385223324,0.00010292554203245869,1287.2247231611273
425.0,0.0,0.04352890629228976,0.00010877769812280932,1138.2102513584912
426.0,0.0,0.049226615155789334,0.00011639722418792872,988.301203090989
427.0,0.0,0.05582448357860374,0.00012544824256715723,857.9856826740823
428.0,0.0,0.06245282385040749,0.00013489033408086793,724.4280366031362
429.0,0.0,0.06964103187847259,0.00015212524201593076,608.170135131903
430.0,0.0,0.07686691459614349,0.00016945005764926256,491.3523746243143
431.0,0.0,0.08519354047606936,0.00019005593593944764,404.9170027388786
432.0,0.0,0.09356346621319321,0.0002153815980417176,315.45610957194674
433.0,0.0,0.10268206847763396,0.00024047004798035144,237.96669763875403
434.0,0.0,0.11183500298005024,0.0002706496124829179,159.80853047428187
435.0,0.0,0.12226215686213507,0.0003016417501653482,0.0
436.0,0.0,0.1328893758647627,0.0003452438934132551,0.0
437.0,0.0,0.14461549169472415,0.0004198311604099452,0.0
438.0,0.0,0.15637681021248906,0.0004961132261600329,0.0
439.0,0.0,0.16764459763757533,0.0005942991627987342,0.0
440.0,0.0,0.1791512149725199,0.0017853476966350793,0.0
441.0,0.0,0.18784068741275703,0.006950869895286888,0.0
442.0,0.0,0.19730948578159835,0.03174344779931622,0.0
443.0,0.0,0.2013814475410555,0.16654304740800113,0.0
444.0,0.0,0.20727819870716757,1.030650983267694,0.0
445.0,0.0,0.20224065086525952,8.408138628861968,0.0
446.0,0.0,0.19897066995523752,96.8362468903255,0.0
447.0,0.0,0.18834306056362674,2033.3961949946422,0.0
448.0,0.0,0.17784261427508521,22248.104870538442,0.0
449.0,0.0,0.163813023514845,27594.17498907492,0.0
450.0,0.0,0.14955461730051126,31896.6481469167,0.0
451.0,0.0,0.13838453953027102,36908.71419301476,0.0
452.0,0.0,0.12736749183931304,41893.154757214186,0.0
453.0,0.0,0.11502500321559052,49111.20589960795,0.0
454.0,0.0,0.10282810023830925,56117.76469471382,0.0
455.0,0.0,0.08466257575894168,63813.764824060614,0.0
456.0,0.0,0.06624954389083837,73568.93823108925,0.0
457.0,0.0,0.06208620211793642,82859.2162372011,0.0
458.0,0.0,0.05790690015175586,92900.95444003635,0.0
459.0,0.0,0.05483005232688876,103835.26532910421,0.0
460.0,0.0,0.051739867066837864,115410.13496465127,0.0
461.0,0.0,0.054059233914163944,124084.86294692059,0.0
462.0,0.0,0.04514619997992768,133381.35180117725,0.0
463.0,0.0,0.3025404758396148,139626.7919384169,0.0
464.0,0.0,0.18459340384761336,144491.15325709287,0.0
465.0,0.0,0.036114682831324074,147061.83358952723,0.0
466.0,0.0,0.03333896418840728,146669.47400222084,0.0
467.0,0.0,0.030933204124015845,144421.4504361383,0.0
468.0,0.0,0.028520931209362138,139238.79690944616,0.0
469.0,0.0,0.026669355903311355,132301.38471800924,0.0
470.0,0.0,0.024812459661276428,123905.67348613341,0.0
471.0,0.0,0.023329493407183544,116182.68120814006,0.0
472.0,0.0,0.02203216376000561,106656.33202010214,0.0
473.0,0.0,0.021111533413829726,97731.55854644443,0.0
474.0,0.0,0.020188328765314317,89971.87819735814,0.0
475.0,0.0,0.01945332490079386,82003.7884092429,0.0
476.0,0.0,0.01877363991661933,76021.22065712567,0.0
477.0,0.0,0.018436273853867008,69995.85348589082,0.0
478.0,0.0,0.018097804737499737,64984.73889835312,0.0
479.0,0.0,0.0177772906538148,60201.51241501079,0.0
480.0,0.0,0.017474698534654123,55789.222777906514,0.0
481.0,0.0,0.017363147332104503,51510.48592814995,0.0
482.0,0.0,0.01725120776899896,45176.49294014727,0.0
483.0,0.0,0.017274262375701663,1362.9353056209125,0.0
484.0,0.0,0.01729814766686656,79.5581150095598,0.0
485.0,0.0,0.017613313794550722,17.506403559311803,0.0
486.0,0.0,0.017930902173646346,0.5141409578811823,0.0
487.0,0.0,0.018502611664756363,0.018270221372521152,0.0
488.0,0.0,0.01907645334622129,0.002769578405921617,0.0
489.0,0.0,0.020040828511473624,0.0025285448870949524,0.0
490.0,0.0,0.021045925792298654,0.0022787918112190295,0.0
491.0,0.0,0.022247223266002675,0.002059344958766753,0.0
492.0,0.0,0.023645578861965093,0.0018821627767523135,0.0
493.0,0.0,0.025242111695460784,0.0017083229954846402,0.0
494.0,0.0,0.02684210768843151,0.001533982229070772,0.0
495.0,0.0,0.02864234803845391,0.0013749006902064188,0.0
496.0,0.0,0.03044777316622268,0.0012783645595973161,0.0
497.0,0.0,0.03265185985910497,0.001181594917720053,0.0
498.0,0.0,0.03466519770964038,0.0010688034041037475,0.0
499.0,0.0,0.037078525934036766,0.0009675606981610906,0.0
500.0,0.0,0.039300758460858065,0.0008779066801956992,0.0
501.0,0.0,0.04192415301264172,0.00079988458930395,0.0
502.0,0.0,0.04455418129200384,0.0007256121782884188,0.0
503.0,0.0,0.04719080929622819,0.0006590768844867726,0.0
504.0,0.0,0.049834004555302194,0.0005923601825366114,0.0
505.0,0.0,0.05248373625039423,0.0005413862851066791,0.0
506.0,0.0,0.05533908751834379,0.0004942610720845323,0.0
507.0,0.0,0.05820176342033778,0.0004430204709243104,0.0
508.0,0.0,0.06087254184264591,0.00039644303611646053,0.0
509.0,0.0,0.06375075142650419,0.0003661535447662077,0.0
510.0,0.0,0.06643745420081057,0.00034460444401974717,0.0
511.0,0.0,0.06913245046416079,0.00032340402569335083,0.0
512.0,0.0,0.07183457926494546,0.0003037524888492739,0.0
513.0,0.0,0.07454211271037617,0.00028444265620922014,0.0
514.0,0.0,0.07705188063262329,0.00027755638017624426,0.0
515.0,0.0,0.07956232061912474,0.000275876032594555,0.0
516.0,0.0,0.08187013444295889,0.00023984652950485153,0.0
517.0,0.0,0.08417812040001779,0.00019119293221787637,0.0
518.0,0.0,0.08628693228066918,0.0001424319241201413,0.0
519.0,0.0,0.08840129740233826,0.00011503846172183455,0.0
520.0,0.0,0.09052461412650357,0.0001253040656137452,0.0
521.0,0.0,0.09245700771141283,0.0001356029013334774,0.0
522.0,0.0,0.09440040286194475,0.00013536695259122613,0.0
523.0,0.0,0.09615020915345003,0.00013310193494513178,0.0
524.0,0.0,0.09790769924373767,0.00013083511633934518,0.0
525.0,0.0,0.09967125522034835,0.00012815579243275943,0.0
526.0,0.0,0.10123504934679077,0.0001258773126754336,0.0
527.0,0.0,0.10259652315074957,0.00012195306342230025,0.0
528.0,0.0,0.10395770378200206,0.0001171943090488454,0.0
529.0,0.0,0.10511179579241035,0.0001128273293483393,0.0
530.0,0.0,0.1064663523408205,0.00011090632251692273,0.0
531.0,0.0,0.10740482668393583,0.00010897214697997254,0.0
532.0,0.0,0.10854513701018524,0.00010743962399165141,0.0
533.0,0.0,0.10947992274892877,0.00010548976846048961,0.0
534.0,0.0,0.11041828131651726,0.00010394994355619024,0.0
535.0,0.0,0.11115786181786977,0.00010323785002051833,0.0
536.0,0.0,0.326298562376966,0.00010253187860446175,0.0
537.0,0.0,7.7537817144745045,0.00010224485260018813,0.0
538.0,0.0,244.327785665839,0.0001023763764652486,0.0
539.0,0.0,23279.167676428722,0.0,0.0
540.0,0.0,104915.04119352187,0.0,0.0
541.0,0.0,118038.04289592121,0.0,0.0
542.0,0.0,119349.26804056442,0.0,0.0
543.0,0.0,119988.85549809154,0.0,0.0
544.0,0.0,120963.92747106965,0.0,0.0
545.0,0.0,120219.24228673487,0.0,0.0
546.0,0.0,119830.27341576644,0.0,0.0
547.0,0.0,121188.89175867688,0.0,0.0
548.0,0.0,119183.70079255661,0.0,0.0
549.0,0.0,118685.96963743368,0.0,0.0
550.0,0.0,122023.68864576632,0.0,0.0
551.0,0.0,121559.79067237832,0.0,0.0
552.0,0.0,121562.236238199,0.0,0.0
553.0,0.0,122432.74278654312,0.0,0.0
554.0,0.0,122655.61307951597,0.0,0.0
555.0,0.0,122439.53430506444,0.0,0.0
556.0,0.0,122222.06825862254,0.0,0.0
557.0,0.0,121383.91830991971,0.0,0.0
558.0,0.0,118936.30262509403,0.0,0.0
559.0,0.0,61403.42073071424,0.0,0.0
560.0,0.0,2981.273755471904,0.0,0.0
561.0,0.0,71.07777780354068,0.0,0.0
562.0,0.0,3.8415521170335136,0.0,0.0
563.0,0.0,0.319679799828129,0.0,0.0
564.0,0.0,0.11694888098668976,0.0,0.0
565.0,0.0,0.11684491075809036,0.0,0.0
566.0,0.0,0.11651738407558326,0.0,0.0
567.0,0.0,0.11639634375486847,0.0,0.0
568.0,0.0,0.11605947370444497,0.0,0.0
569.0,0.0,0.11572480611667452,0.0,0.0
570.0,0.0,0.11518283831621745,0.0,0.0
571.0,0.0,0.0,0.0,0.0
572.0,0.0008947613187621214,0.0,0.0,0.0
573.0,0.0008957059522188103,0.0,0.0,0.0
574.0,0.0008966449967668623,0.0,0.0,0.0
575.0,0.0009340303110248421,0.0,0.0,0.0
576.0,0.0009677656302010487,0.0,0.0,0.0
577.0,0.0009795614080319376,0.0,0.0,0.0
578.0,0.000991318141083986,0.0,0.0,0.0
579.0,0.001035992351785704,0.0,0.0,0.0
580.0,0.0010843582226098686,0.0,0.0,0.0
581.0,0.0011767624172934186,0.0,0.0,0.0
582.0,0.001265646321592229,0.0,0.0,0.0
583.0,0.0013216887611893584,0.0,0.0,0.0
584.0,0.001374272348645606,0.0,0.0,0.0
585.0,0.0014565627834034784,0.0,0.0,0.0
586.0,0.0015355601628314498,0.0,0.0,0.0
587.0,0.0016811839315762976,0.0,0.0,0.0
588.0,0.0018270273676610062,0.0,0.0,0.0
589.0,0.002013457472169739,0.0,0.0,0.0
590.0,0.0021995421139981183,0.0,0.0,0.0
591.0,0.00249958964487978,0.0,0.0,0.0
592.0,0.0027955814212182266,0.0,0.0,0.0
593.0,0.003224992379871668,0.0,0.0,0.0
594.0,0.0036520501682678814,0.0,0.0,0.0
595.0,0.0041856529666753906,0.0,0.0,0.0
596.0,0.004749897771321229,0.0,0.0,0.0
597.0,0.005430272720112384,0.0,0.0,0.0
598.0,0.006114278719438397,0.0,0.0,0.0
599.0,0.006948909805744672,0.0,0.0,0.0
600.0,0.007781610399916205,0.0,0.0,0.0
601.0,0.008833033187016297,0.0,0.0,0.0
602.0,0.009841517368548346,0.0,0.0,0.0
603.0,0.011109011430250148,0.0,0.0,0.0
604.0,0.012340623424136,0.0,0.0,0.0
605.0,0.013954522496003577,0.0,0.0,0.0
606.0,0.01558439460703877,0.0,0.0,0.0
607.0,0.017568436613615776,0.0,0.0,0.0
608.0,0.01952893661260027,0.0,0.0,0.0
609.0,0.022062576095952937,0.0,0.0,0.0
610.0,0.024558300144175454,0.0,0.0,0.0
611.0,0.027722931831014524,0.0,0.0,0.0
612.0,0.030872724872848322,0.0,0.0,0.0
613.0,0.03468793771701274,0.0,0.0,0.0
614.0,0.03856418004631475,0.0,0.0,0.0
615.0,0.043071480252861574,0.0,0.0,0.0
616.0,0.04795028941218684,0.0,0.0,0.0
617.0,0.05396366614907749,0.0,0.0,0.0
618.0,0.0924018668347668,0.0,0.0,0.0
619.0,0.29194488376259575,0.0,0.0,0.0
620.0,0.9917019418220269,0.0,0.0,0.0
621.0,3.7246124362416104,0.0,0.0,0.0
622.0,15.534317838938708,0.0,0.0,0.0
623.0,74.85114281766673,0.0,0.0,0.0
624.0,431.30563653214654,0.0,0.0,0.0
625.0,3227.3888353398825,0.0,0.0,0.0
626.0,35840.46176022642,0.0,0.0,0.0
627.0,585918.2670353204,0.0,0.0,0.0
628.0,1501931.6238976016,0.0,0.0,0.0
629.0,1605311.9350891365,0.0,0.0,0.0
630.0,1712669.4048630414,0.0,0.0,0.0
631.0,1766062.19928662,0.0,0.0,0.0
632.0,1848093.5038692036,0.0,0.0,0.0
633.0,1813119.8751158053,0.0,0.0,0.0
634.0,1764652.2632719371,0.0,0.0,0.0
635.0,1618825.3620563368,0.0,0.0,0.0
636.0,1482099.9120660643,0.0,0.0,0.0
637.0,1287825.906102059,0.0,0.0,0.0
638.0,1091922.455672595,0.0,0.0,0.0
639.0,951782.9990802908,0.0,0.0,0.0
640.0,812122.7616806917,0.0,0.0,0.0
641.0,657168.3660090272,0.0,0.0,0.0
642.0,498861.02210652677,0.0,0.0,0.0
643.0,425423.78551095875,0.0,0.0,0.0
644.0,348490.87907601637,0.0,0.0,0.0
645.0,294266.2200116827,0.0,0.0,0.0
646.0,242190.0818825589,0.0,0.0,0.0
647.0,208799.45229372673,0.0,0.0,0.0
648.0,174495.591885526,0.0,0.0,0.0
649.0,146959.718316864,0.0,0.0,0.0
650.0,119695.87700197649,0.0,0.0,0.0
651.0,101842.30810277937,0.0,0.0,0.0
652.0,82156.49152850121,0.0,0.0,0.0
653.0,70690.33140325558,0.0,0.0,0.0
654.0,19062.936305030038,0.0,0.0,0.0
655.0,1433.3979713695944,0.0,0.0,0.0
656.0,153.23270450373045,0.0,0.0,0.0
657.0,25.26844184726935,0.0,0.0,0.0
658.0,5.214843441023915,0.0,0.0,0.0
659.0,1.41742117296924,0.0,0.0,0.0
660.0,0.44396191256116047,0.0,0.0,0.0
661.0,0.10541060872438487,0.0,0.0,0.0
662.0,0.020296670151078285,0.0,0.0,0.0
663.0,0.007286943506326574,0.0,0.0,0.0
664.0,0.002702788083535129,0.0,0.0,0.0
665.0,0.0013634909000891655,0.0,0.0,0.0
666.0,0.0007298629336288607,0.0,0.0,0.0
667.0,0.0006979248543989381,0.0,0.0,0.0
668.0,0.0007095543679829488,0.0,0.0,0.0
669.0,0.000649899598367434,0.0,0.0,0.0
670.0,0.0005865840742200935,0.0,0.0,0.0
671.0,0.0005871059374777692,0.0,0.0,0.0
672.0,0.0005880144573224107,0.0,0.0,0.0
673.0,0.0005374556365848447,0.0,0.0,0.0
674.0,0.0004908322093355053,0.0,0.0,0.0
675.0,0.0004920549912546565,0.0,0.0,0.0
676.0,0.0004932678325046839,0.0,0.0,0.0
677.0,0.0004903800089961938,0.0,0.0,0.0
678.0,0.0004832983153085718,0.0,0.0,0.0
679.0,0.0004396700685373464,0.0,0.0,0.0
680.0,0.00039688509602625426,0.0,0.0,0.0
681.0,0.00029845687134774884,0.0,0.0,0.0
682.0,0.00019988424652756838,0.0,0.0,0.0
683.0,9.971112932784694e-05,0.0,0.0,0.0
684.0,0.0,0.0,0.0,0.0
685.0,0.0,0.0,0.0,0.0
686.0,0.0,0.0,0.0,0.0
687.0,0.0,0.0,0.0,0.0
688.0,0.0,0.0,0.0,0.0
689.0,0.0,0.0,0.0,0.0
690.0,0.0,0.0,0.0,0.0
691.0,0.0,0.0,0.0,0.0
692.0,0.0,0.0,0.0,0.0
693.0,0.0,0.0,0.0,0.0
694.0,0.0,0.0,0.0,0.0
695.0,0.0,0.0,0.0,0.0
696.0,0.0,0.0,0.0,0.0
697.0,0.0,0.0,0.0,0.0
698.0,0.0,0.0,0.0,0.0
699.0,0.0,0.0,0.0,0.0
700.0,0.0,0.0,0.0,0.0
